UV(Epoch)_Rep	Hours	Total Cells/mL
0_1	0	75000
0_1	8	80000
0_1	33	277500
0_1	57	627500
0_1	81	865000
0.5_1	96	85000
0.5_1	104	107500
0.5_1	127	135000
0.5_1	151	160000
0.5_1	176	322500
0.5_1	203	305000
1_1	219	45000
1_1	227	47500
1_1	251	25000
1_1	276	7500
1_1	371	207500
1_1	418	510000
1.5_1	431	120000
1.5_1	440	30000
0_2	0	77500
0_2	8	95000
0_2	33	345000
0_2	57	682500
0_2	81	960000
0.5_2	96	80000
0.5_2	104	72500
0.5_2	127	100000
0.5_2	151	172500
0.5_2	176	322500
0.5_2	203	475000
1_2	219	102500
1_2	227	85000
1_2	251	52500
1_2	276	42500
1_2	371	37500
1_2	418	62500
1_2	440	45000
0_3	0	72500
0_3	8	65000
0_3	33	277500
0_3	57	705000
0_3	81	802500
0.5_3	96	117500
0.5_3	104	95000
0.5_3	127	145000
0.5_3	151	180000
0.5_3	176	347500
0.5_3	203	367500
1_3	219	77500
1_3	227	90000
1_3	251	40000
1_3	276	22500
1_3	371	210000
1_3	418	325000
1.5_3	431	80000
1.5_3	440	22500
0_4	0	100000
0_4	14	275000
0_4	36	950000
0_4	60	1122500
0_4	86	1215000
0.5_4	88	92500
0.5_4	110	245000
0.5_4	133	655000
0.5_4	160	1235000
0.5_4	184	1295000
1_4	186	139375
1_4	205	115000
1_4	230	135000
1_4	256	232500
1_4	276	607500
1_4	300	1225000
1.5_4	301	117500
0_5	0	100000
0_5	14	180000
0_5	36	972500
0_5	60	1232500
0_5	86	1205000
0.5_5	88	87500
0.5_5	110	222500
0.5_5	133	770000
0.5_5	160	1210000
0.5_5	184	1415000
1_5	186	155000
1_5	205	82500
1_5	230	240000
1_5	256	610000
1_5	276	1017500
1_5	300	1435000
1.5_5	301	105000
0_6	0	100000
0_6	27.5	735000
0_6	48	1335000
0_6	72	1735000
0.5_6	96	77500
0.5_6	121	180000
0.5_6	145	780000
0.5_6	169	1575000
0.5_6	192.5	1587500
0.5_6	217	1542500
0_7	0	92500
0_7	27.5	807500
0_7	48	1375000
0_7	72	1630000
0.5_7	96	87500
0.5_7	121	147500
0.5_7	145	652500
0.5_7	169	1397500
0.5_7	192.5	1452500
0.5_7	217	1602500
